genus	FMT102	FMT103	FMT104	FMT105	FMT106	FMT107	FMT108	FMT109	FMT110	FMT111	FMT112	FMT113	FMT114	FMT115	FMT116	FMT117	FMT118	FMT119	FMT120	FMT121	FMT122	FMT123	FMT124	FMT125	FMT126	FMT127	FMT128	FMT129	FMT130	FMT131	FMT132	FMT133	FMT134	FMT135	FMT136	FMT137	FMT138	FMT139	FMT141	FMT142	FMT143	FMT144	FMT145	FMT146	FMT147	FMT148	FMT149	FMT150	FMT151	FMT152	FMT153	FMT154	FMT155	FMT156	FMT157	FMT158	FMT159	FMT161	FMT163	FMT164	FMT165	FMT166	FMT167	FMT168	FMT169	FMT170	FMT171	FMT172	FMT173	FMT174	FMT175	FMT177	FMT178	FMT180	FMT181	FMT182	FMT183	FMT184	FMT185	FMT186	FMT188	FMT189	FMT190	FMT191	FMT192	FMT193	FMT194	FMT195	FMT196	FMT201
Anaerostipes	6.83368342278386e-06	1.94080666244081e-06	1.4457925595914801e-06	4.00582554561611e-07	2.42718708386404e-06	0.0	1.78428140777711e-06	5.3233249583372e-06	2.9336337661730218e-06	7.6994287485214e-06	4.9265093350567e-06	5.30094799131108e-08	4.479744465462396e-07	2.32782922221237e-06	1.141487814638012e-05	0.0	1.4795540804054843e-06	2.4865805866615e-07	1.3045723664418935e-05	0.0	3.8301815763867e-07	2.04642374110763e-07	4.9107323540822195e-06	4.876746208945141e-07	7.2647795818997e-07	5.15963439088367e-07	2.73843949007258e-05	4.89436285392966e-06	3.13747605224047e-05	8.47258938600729e-06	3.63383890613854e-06	1.425776139844233e-05	4.81412533201744e-06	6.09283044515243e-06	1.58034331830443e-06	1.015076280315046e-06	3.4102818539829897e-06	4.36273847201017e-06	4.3613071489567797e-07	1.142900364976277e-05	1.418569802121003e-05	1.900667132517504e-06	6.51988950247398e-07	1.3337910607600401e-06	1.23738057480393e-06	2.5587226310298498e-05	2.51459990307044e-06	9.57106056189378e-06	6.23806017793552e-06	3.38980954770932e-06	1.0727882631409501e-06	1.7111112802514331e-06	5.02262824331342e-06	6.85533711521432e-07	5.11900164902209e-07	9.42859986838921e-07	4.42338389177765e-07	2.286895468136433e-06	3.912190404108754e-06	1.03952512669704e-06	4.76361471238082e-06	1.948985025748787e-06	1.4390326053809799e-06	3.6876706107954e-07	3.10376385568772e-07	1.54091455026538e-07	1.68288115443988e-06	3.1961386825202697e-07	4.25493152817015e-06	2.3536166756990718e-06	1.2716531303040531e-06	2.086547808711077e-05	3.43898847405614e-05	1.1281039403648222e-05	8.05304596909718e-06	4.03978478083296e-06	3.1887986781782995e-06	2.4996839639527303e-06	4.41414433604911e-06	3.37374349055916e-06	9.29756765495753e-06	1.371889461585094e-05	2.93269582403172e-06	2.19127956581633e-06	2.906603734561252e-06	4.96817236886547e-06	5.57419892502605e-06	9.099871771899718e-06	7.156065759554241e-06	2.120716631479403e-06
Anaerotignum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2267055534941604e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerotruncus	0.0	0.0	0.0	9.42766857926925e-07	3.16429449143878e-07	0.0	0.0	0.0	0.0	0.0	3.3965683135003e-08	1.89376950074876e-07	2.4601206515524904e-08	0.0	0.0	3.81761827076021e-08	0.0	0.0	0.0	0.0	0.0	8.76547831865301e-08	2.32089225905571e-08	0.0	0.0	4.31433128126895e-08	1.54480631633085e-07	0.0	5.4903040728408205e-08	3.6554268824625296e-08	0.0	0.0	2.9006037408600997e-07	0.0	0.0	0.0	0.0	0.0	6.928024984355201e-08	0.0	0.0	5.1545047481901794e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7427605198083597e-08	0.0	2.7444773822345e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1489961434616e-07	4.49776988310624e-08	0.0	0.0	0.0	0.0	0.0	3.92924042675716e-08	2.8844598825530297e-08	5.14587333544874e-08	5.44519202042423e-08	4.89172511836839e-08	0.0	0.0	0.0	0.0	4.21626898337825e-08	6.30390564502757e-08	0.0	0.0	0.0	0.0	0.0	3.8430342332853995e-08	4.845172961786519e-08	0.0
Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7274537894631277e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33950896155174e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20365085005394e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11649241496389e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillum	0.0	0.0	0.0	0.0	2.70332505583071e-06	0.0	0.0	1.660514573193238e-06	0.0	1.1543108576681699e-08	1.9172461208841423e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.79871067921912e-07	0.0	0.0	2.07203494322032e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.432992618258009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4025532189703116e-07	0.0	0.0	0.0	0.0	0.0	6.9982034649559e-07	1.2293794204774803e-07	0.0	0.0	0.0	0.0	0.0
Bacteroides	1.5134434941232842e-06	0.0	0.0	0.0	9.650535609001049e-06	0.0	2.8857151936202198e-05	1.0990621862840029e-05	1.7278503765020238e-05	2.6927486424915726e-05	1.9622613145752062e-05	2.4231403256112177e-05	1.736185847871509e-05	6.846324699347914e-06	6.191424293686034e-06	2.477544398156507e-05	1.0028121765820544e-05	2.385073762340907e-05	7.672388737998297e-05	6.8773594192049895e-06	1.4377775350715408e-05	8.79209587735307e-05	3.184582746167275e-06	2.0761591477040212e-07	6.737648104342402e-07	4.83205708975436e-07	1.8959122300955448e-05	4.61347062554538e-06	7.017321352451855e-07	7.93164088234814e-06	1.785989601690562e-05	3.746265542615591e-05	1.7227696142589726e-06	3.560774821069297e-06	8.46782568615832e-06	4.8365645708300796e-08	5.956886618635001e-06	5.85227623261558e-06	6.337316223139943e-05	3.993044943762121e-06	1.1949721159131427e-05	5.83631816619823e-05	3.12052650348887e-05	1.9171597283003336e-05	1.933366594641954e-05	5.536273930248459e-05	3.043904456839447e-05	1.645062706761992e-05	2.7785763520302937e-05	6.823594025674936e-05	1.2445345156112344e-05	7.235212924970018e-06	3.815721496514473e-05	7.968348926443886e-06	1.1721987235117342e-05	1.739265747432871e-05	1.2570715135019987e-05	2.305150526190759e-06	1.9001961304743293e-05	0.0	6.51123762934526e-06	3.6783772436017415e-06	7.3355551442255586e-06	5.148098097525898e-05	6.538268137120026e-05	4.43474721108806e-05	5.2630255493598726e-05	2.135750765379613e-06	3.6669493552594318e-06	4.886938928814325e-06	2.5053422169991145e-06	9.032370541346376e-06	6.392718807361515e-06	1.2367032993783428e-05	2.2130780521038105e-05	4.442482636076908e-06	2.2909940680641376e-06	1.8689551179486164e-05	2.0746343452864047e-05	1.6436944588670286e-05	5.721384625836977e-06	5.783108824047492e-06	2.0832743023254472e-05	2.1562641136286783e-05	3.203005926196846e-05	3.3247848863715676e-05	4.3219695744673185e-05	9.779934101908259e-06	8.436433949286007e-06	2.383855739792209e-05
Barnesiella	0.0	0.0	0.0	0.0	4.16634925253196e-06	0.0	0.0	1.36419135234618e-06	0.0	7.21928425930567e-07	6.09449399009371e-07	0.0	1.47779906595367e-06	2.97157228267635e-07	2.17932105959694e-06	5.293510504270001e-07	1.57201052069199e-07	0.0	0.0	0.0	0.0	3.9207906588483e-08	4.7271095743417504e-07	6.90733952606284e-08	1.9819509918812e-07	1.0186319176485199e-07	2.35242250312494e-06	6.19796243764844e-07	2.0574255466086603e-07	9.63306814164672e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.13326608472139e-08	1.166788228932667e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.410061374069419e-07	0.0	7.84488308800166e-08	0.0	0.0	1.50589915132304e-07	1.0823340151281e-06	1.25787314622623e-06	1.8875666689433102e-06	3.69908256761102e-08	9.82930116775191e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4944583021639699e-06	1.48141254824614e-07	1.20626866948839e-07	2.3875096911314895e-07	3.3434916999529504e-08	5.59942946853731e-07	5.919765753452389e-07	0.0	0.0	0.0	0.0	1.0307225324782e-06	1.3234110680900591e-06	4.91964112692306e-07	5.79536900940683e-07	2.62130319366388e-07	8.46127838961195e-07	1.34664702996922e-06	1.522744240173686e-06	1.03485387953689e-06	0.0	8.391585230263529e-07	2.71576449163869e-07	8.13503687117414e-07
Bifidobacterium	0.0003483314975902457	0.00038102700217508003	0.00035622465224076984	0.00010762807553416355	6.607537602635007e-06	4.871605196462735e-07	5.417245340938083e-05	8.283851337211592e-06	3.2040534632538176e-05	6.469748116826557e-06	5.287152422358994e-06	0.00025257064312921154	0.0002149606441842667	0.00033687560681347874	0.00018872347847795825	0.00028887527450332417	0.00026373069919149046	0.0002333768241638177	3.0184262275608113e-05	0.00041541537255898023	0.0002778982809356826	4.33238319017121e-05	0.00026923735685930824	5.581495723046049e-06	6.670980607405437e-06	9.998684866430973e-06	2.048204477387166e-05	1.883529280883146e-05	6.628457956915529e-06	1.5237170617045013e-06	0.0002625697502744517	0.00014973494756719474	0.00029147808567279933	3.72837103469041e-05	0.00029231687505109347	0.00034706197319278766	0.00038799224719374706	0.00030960042155904466	1.0295563344181439e-05	5.5629911330662165e-05	3.638241639804264e-05	2.065186390887787e-07	1.0015581188830165e-05	8.518690212486207e-06	2.824158621563704e-06	0.00012366075547303636	4.492713023801651e-05	4.059657650897623e-05	5.523121384691408e-05	0.00016455574982571848	0.00018391827119467466	0.00020265662194348112	4.15436865598428e-07	1.8002807085703934e-05	5.185858214394441e-06	6.5700339821766305e-06	4.272611536293573e-06	5.001061316884915e-05	7.790497266170367e-06	9.83963648749002e-05	7.128464854377679e-05	4.999330612439964e-05	8.487450163918515e-06	0.00013165646848283013	6.217810404555696e-05	1.4805385721792104e-05	2.4502844017323642e-05	0.00016883513354997638	0.00018552309780064784	6.79181256746146e-05	7.579593629307836e-05	0.00017846477275166418	0.00016904785413596884	4.8614963474189075e-05	4.947343554547709e-05	7.63788165916694e-05	8.994331880895611e-05	3.725632527471615e-05	8.097417807311767e-06	0.00010512782287357935	1.494356805283843e-05	1.8486779506269607e-05	1.3845035620140694e-05	3.6428130737213e-05	6.371160434049805e-06	4.546125316929434e-05	1.6295108933121542e-05	8.85196333156486e-06	1.8223825918227833e-05	1.1932010397950118e-05
Bilophila	0.0	0.0	0.0	5.06717396094686e-06	1.13176414132716e-06	9.92951834142538e-08	1.1092707236185e-06	1.2912235052904e-06	1.09945684540531e-06	4.723219369948629e-07	7.1536493883464e-07	0.0	1.57394033572095e-07	1.2966652725114699e-07	2.63575983863582e-07	6.24824207371108e-07	8.25832069928586e-08	1.81186447110148e-07	1.09226822453038e-06	0.0	0.0	9.60984801933699e-07	1.22557656706353e-07	4.2797017822115896e-08	2.103192537553718e-07	2.166323606065599e-07	4.937502261511411e-07	0.0	0.0	2.68535050657675e-07	0.0	2.574483568750777e-07	0.0	4.99223485824025e-08	0.0	0.0	0.0	0.0	1.55901058899173e-06	2.66308671597738e-07	3.65936895968068e-07	0.0	6.68294012303956e-07	1.52188589210751e-07	3.33888523843662e-07	5.90573306616121e-07	4.2059744322491603e-07	3.7502827188484896e-07	9.66573389570319e-07	1.95299269439825e-07	2.27592221666229e-07	4.5639158870175993e-07	6.642202175281011e-07	1.1699696811713701e-07	4.5092385953056004e-07	0.0	1.0828647397848802e-07	0.0	0.0	0.0	0.0	9.576657430517491e-08	2.9367390499949904e-08	3.293914244058714e-07	4.22161156692354e-07	3.83960674881498e-07	7.884149138379131e-07	3.7022918516600697e-08	6.04035288184295e-08	5.33407157227979e-08	4.15806393662945e-08	2.49660336520422e-07	3.40570834886682e-08	1.9438729779428902e-06	2.31240588744932e-06	1.36684077277892e-06	1.0404219963235402e-07	1.2544723209725197e-07	5.243034458662539e-07	3.99307810874295e-07	2.406142204645982e-07	1.342558405868917e-07	3.00474234944174e-07	1.04623443033706e-07	6.02829730634861e-07	4.17385675429916e-07	4.01851774742227e-07	5.680779993728329e-07	3.9433464627202704e-07	2.5752779702060297e-07
Blastocystis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45428863378086e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
