,7.0,30.0,90.0
oral unclassified Bacteroidales,0.9461662933730277,0.056550775532405,0.011392613363261231
oral unclassified Bacteroidetes,-0.026256714010987628,0.06482254001753872,-0.041778750976284446
oral unclassified Candidatus Gracilibacteria,0.11501793742859662,0.05358294802625612,-0.032573596782151604
oral unclassified Candidatus Saccharibacteria,-0.10707900983821002,1.0014492517112188,0.349115837650985
oral unclassified Clostridiales,-0.14636130769177622,-0.08689194093422037,0.02858911626558987
oral unclassified Clostridiales Family XIII. Incertae Sedis,0.3567238182479402,0.627804499568144,0.09034876232521678
oral unclassified Firmicutes,0.04663266999856396,0.0874380117409967,-0.004857458463731259
oral unclassified Lachnospiraceae,0.012216775446656343,0.26262623000095475,0.07906172827264708
oral unclassified Neisseriaceae,0.006683274455915175,0.025340270910345384,0.027350590809473274
oral unclassified Peptostreptococcaceae,0.0,0.0,0.0
oral unclassified Prevotellaceae,0.5335486412497327,0.5806330378786716,-0.1662269463753505
oral unclassified Propionibacteriales,0.0,0.0,0.0
oral unclassified Selenomonadaceae,0.19921463116501276,0.20720523364125054,0.48047743646120045
oral unclassified Synergistaceae,0.002390451425489443,0.11842613380780898,0.08480573194748667
oral unclassified Synergistales,0.01087432237573467,0.045608892279467295,0.0011469508836347705
gut Acetobacter,-0.22041973464645587,-0.1306581382355956,-0.20783496163943163
gut Acidaminococcus,0.07239646165000044,0.14046042901944766,0.11069708355589847
gut Acidiphilium,0.004753135147059546,0.0,0.0
gut Acinetobacter,0.06511081718527473,-0.0054030394585615005,-0.0054030394585615005
gut Actinomyces,-0.015236511504273858,-0.01738584470533529,-0.040640498554246764
gut Adlercreutzia,0.01975035103690904,0.009350689906681193,0.0265818376725393
gut Akkermansia,4.697450975695112,3.038710206115976,-1.4736327980409198
gut Alistipes,0.3334365878055333,-1.6281346512038326,-1.4859577409344258
gut Allisonella,0.06731450493394563,0.0444040252263658,0.00336489293132657
gut Anaerococcus,-0.08485754839015751,-0.08485754839015751,-0.08485754839015751
gut Anaerofilum,0.0,0.04889085336916379,0.0
gut Anaerofustis,0.0,0.0016282831761609713,0.0
gut Anaeroglobus,0.0,0.0,0.0
gut Anaeromassilibacillus,-0.046015080494694716,0.004477206868544726,-0.0779093483939892
gut Anaerostipes,0.4734665299642367,3.824911016145514,2.256968575894575
gut Anaerotignum,-0.0322670555349416,-0.0322670555349416,-0.0322670555349416
gut Anaerotruncus,-0.0876016338367823,-0.09548593141627702,-0.11630984115582814
gut Atopobium,-0.0133950896155174,-0.005420143794346756,-0.0133950896155174
gut Azospirillum,0.04189662389842313,-0.16522694956384654,-0.1328074484517866
gut Bacteroides,-7.57547103386354,-17.91267639937879,-8.129790303377922
gut Barnesiella,0.35712725592449196,-0.05734295480853253,0.18648588324227627
gut Bifidobacterium,-61.5395918818239,-34.25960441974049,-104.30531653733642
gut Bilophila,-0.32567289253361564,-0.6152151746979377,-0.3813422498810019
gut Blastocystis,0.0,0.0,0.0
gut Blautia,-7.488685137746301,-6.048269753423869,10.1815096169225
gut Butyricicoccus,0.9906439456010608,0.1852907221234532,0.35984402927442466
gut Butyricimonas,0.00718143538077402,-0.032157617999242626,-0.041805783508114376
gut Campylobacter,0.0,0.0,0.0
gut Catabacter,-0.0035597433733700404,-0.0035597433733700404,-0.0035597433733700404
gut Catenibacterium,0.027964828357721846,0.4139988422160358,0.5088115427597458
gut Christensenella,0.010478246906044384,0.013695062804969427,0.0
gut Cloacibacillus,0.025036438414517574,0.053100046644552,0.0021255785222337527
gut Clostridium,0.5838346822478748,0.2942931867333224,0.4543134260150428
gut Colibacter,0.0,0.0,0.0
gut Collinsella,6.776472524717209,2.9905781567456606,0.6149422223774886
gut Comamonas,0.0,0.0,0.0
gut Coprobacillus,-0.005421610078588374,0.30966582827616673,-0.0595819778717953
gut Coprobacter,-0.01464173805348763,-0.04094770785523306,-0.04915975887712928
gut Coprococcus,-0.694971989199949,-1.543835443696153,0.6576848934129914
gut Cryptobacterium,0.005048372985690519,0.005172165125398696,0.16584142723594564
gut Dakarella,0.004049610051044223,0.002643392466603278,0.0
gut Desulfovibrio,1.478294936397905,-0.06013408922138403,0.04135519610534248
gut Dialister,1.5597782470188866,0.9198957850079756,1.7495672933114519
gut Dielma,-0.03521986926855687,-0.03521986926855687,-0.03077079400870968
gut Dorea,0.8768195568378359,0.6026987849086105,1.1521223052171516
gut Drancourtella,-0.24054992746546877,-0.24054992746546877,-0.24054992746546877
gut Duodenibacillus,-0.07210056692487431,-0.018608304068550796,-0.07210056692487431
gut Eggerthella,-0.28826384760532586,-0.21701494764150137,-0.2129379727557281
gut Eisenbergiella,0.004940450283296268,0.0008996338632291472,-0.011288081263655101
gut Enorma,0.0,0.0,0.0
gut Enterobacter,-0.09239922166140921,-0.08206472802768,0.08258325013721214
gut Enterococcus,-0.2757071567989802,-0.3892728679430156,-0.4617150401158895
gut Erysipelatoclostridium,-4.766516574826187,-4.419971729168963,-2.128062340746177
gut Escherichia,4.50408355628787,8.296567897487279,6.807785185273612
gut Eubacterium,0.6719606951038513,-0.9645893797308045,-0.7991743353511422
gut Faecalibacterium,15.90103498064812,8.324257739958528,15.803372716026422
gut Faecalicatena,-0.038265999047662966,-0.03637789430119119,-0.038265999047662966
gut Faecalicoccus,0.017982719676787235,0.04367147979350214,-0.020735620969092698
gut Faecalitalea,-0.5880318195098886,-0.37686447913856014,0.01131762894521952
gut Flavonifractor,-4.222190829095528,-2.9762009315449314,-3.5121744623081192
gut Fusicatenibacter,2.7587500089403356,1.9986041299447677,3.5057798292902933
gut Fusobacterium,0.0,0.0,0.006518361172394076
gut Gemella,0.0,0.0,0.0
gut Gemmiger,2.5636083591742627,2.996743568199214,2.306433803514848
gut Gordonibacter,0.5349281134359186,0.2393477291375461,0.17492012278942665
gut Granulicatella,0.0,0.0,0.0
gut Haemophilus,-0.13446072437639922,-0.07254278452073219,-0.12579886772142232
gut Holdemanella,-1.0312308215584485,-0.9008932399386071,0.7898288412321897
gut Holdemania,-0.3594012063288618,-0.4040139381044587,-0.41443078864878585
gut Hungatella,-0.14758312839359533,-0.19813006097802655,-0.013984403702489165
gut Intestinibacter,-0.7888409763334862,-0.5409872908671793,-0.6600749682788402
gut Intestinimonas,-0.01672810416273515,-0.044934489718985206,-0.05122510929198895
gut Klebsiella,0.0663753805349164,4.501426679290862,1.4248205049282336
gut Lachnoanaerobaculum,0.0,0.0,0.0
gut Lachnoclostridium,-2.2594479888164987,-2.1476734369275596,-1.124807123267422
gut Lachnospira,0.34366584365748887,0.3508573749980321,0.9610980186536212
gut Lactobacillus,-1.6205412126540195,2.787983509285679,-5.921536102027153
gut Lactococcus,0.0018725701847616617,0.0,0.0029771739534750334
gut Leuconostoc,0.005826443351970384,0.0,0.0
gut Libanicoccus,0.0,0.0,0.0
gut Marvinbryantia,0.014943026886802616,0.0,0.015910790177546916
gut Massiliomicrobiota,-0.34864278041691854,-0.35638656392871093,-0.3592601147587835
gut Mediterranea,-0.0130598441092389,-0.0130598441092389,-0.0130598441092389
gut Megamonas,0.43401018968189387,1.8455403984981142,-0.11204472297832299
gut Megasphaera,-0.45773982902635135,-0.45416485141156443,-0.9956727692719057
gut Merdimonas,-0.28272598784486996,-0.31101127192287314,-0.32796844938410263
gut Methanobrevibacter,0.2688641924054477,2.647199329994022,0.9920057471829873
gut Methanosphaera,0.07671790564320427,0.1514793830266684,0.10285204927274108
gut Mitsuokella,0.03270038927882931,0.0,0.0
gut Morganella,0.0,0.0,0.0
gut Negativibacillus,0.0,0.0,0.0
gut Neglecta,-0.036938518617747704,-0.036938518617747704,-0.036938518617747704
gut Niameybacter,-0.0111499045557723,-0.007951079056890844,-0.0111499045557723
gut Odoribacter,0.16235297969634413,-0.022146336827105324,0.029585366135837232
gut Olsenella,-0.04575517899553929,0.012693204233692888,-0.0824278026404883
gut Oscillibacter,1.3962735321829614,-0.08495013394637348,0.5097415364246289
gut Parabacteroides,0.4037182946563215,-0.310994923012009,0.22918449326846332
gut Paraprevotella,-0.20433363119979192,-0.19985876779352865,-0.15265155395520033
gut Parasutterella,0.042156310723340695,-0.015243746181249069,-0.006852458621610667
gut Parvimonas,0.0031606438352273767,0.0,0.0
gut Peptoniphilus,0.011176723559213885,0.0,0.0
gut Peptostreptococcus,0.0,0.0,0.0
gut Phascolarctobacterium,0.8611034396515247,0.8101386904454796,-0.015551996543137794
gut Phocea,0.008260103340615456,-0.0025289908903263453,-0.0010764098171977764
gut Porphyromonas,0.009237258524918386,0.0,0.0
gut Prevotella,15.665840520572521,4.082173902856097,12.347512966882052
gut Prevotellamassilia,0.007528426535624837,0.012185640255109572,0.02081874385659675
gut Proteus,0.0,0.18731520570466645,0.0
gut Pseudoflavonifractor,0.015280750943339676,0.03581449150300173,-0.02802872796654094
gut Raoultella,0.02235751175688754,0.0,0.0
gut Romboutsia,-0.013282533262692022,0.04591919018682919,-0.00141062402747772
gut Roseburia,0.17882683721360024,2.3509941303464803,4.246225292920002
gut Ruminiclostridium,0.7041977198204223,1.820927333893736,-0.2749263488959301
gut Ruminococcus,10.234100015540028,6.2671787480277485,10.776495557387262
gut Ruthenibacterium,-0.5477996976757465,5.513388809451686,-0.4341007666052407
gut Sellimonas,-0.12379466345692451,-0.0894202708915521,-0.030943997959759155
gut Senegalimassilia,0.2638903718719002,0.7111946625754741,0.4076106884297333
gut Slackia,-0.120486793560968,-0.120486793560968,-0.120486793560968
gut Solobacterium,0.0060958142237656455,0.0,0.0
gut Streptococcus,-2.4351992215894698,-4.319546625382697,0.13180823780300702
gut Subdoligranulum,0.0,0.006954475937682671,0.022875366314464494
gut Succinatimonas,0.0,0.0028053466392829497,0.0
gut Sutterella,0.372332005988555,0.19700685803569426,-0.3701750151233767
gut Turicibacter,-0.017464783272246577,0.028071075422175344,0.010013587605387429
gut Tyzzerella,-0.8306038745471589,-0.42854934590895055,0.8939187304676584
gut Veillonella,-0.9124376275153477,-0.8608926212896378,0.863645848601329
gut Weissella,0.0,0.0,0.08750286823377758
gut unclassified,1.6283264765210796,1.6652728257077334,2.318148413934989
gut unclassified Actinobacteria,0.04087519804399343,-0.0109878974565215,-0.0109878974565215
gut unclassified Bacteria,0.23055953114661248,0.15863603908135449,0.10660311192158099
gut unclassified Bacteroidales,0.9369917075759465,1.393327986994693,0.3066738510710902
gut unclassified Burkholderiales,0.04177152379572258,0.00869336754985152,0.019362713185436625
gut unclassified Christensenellaceae,0.056482667798026964,0.09983376847336363,0.4353248101389969
gut unclassified Clostridia,-0.23055475242120244,-0.25268407383019376,-0.25507763525576527
gut unclassified Clostridiaceae,0.0,0.0,0.0
gut unclassified Clostridiales,2.835014868990166,0.4439564973163172,2.7359794579725962
gut unclassified Desulfovibrionales,-0.0016623797516769083,-0.012224303902188302,0.014733213387059395
gut unclassified Eggerthellaceae,0.47422500956507024,0.870426207365699,0.5049895602233442
gut unclassified Erysipelotrichaceae,-1.6827975635887211,-1.6068872833606949,-1.699513824018124
gut unclassified Firmicutes,-3.9316713140234847,-8.389443816994246,-7.904933898549313
gut unclassified Lachnospiraceae,6.1510895825550875,9.74911720561992,9.213459363246235
gut unclassified Odoribacteraceae,0.0,0.0,0.0
gut unclassified Oscillospiraceae,0.04071464474475683,-0.19347211990568638,-0.08104090903732152
gut unclassified Prevotellaceae,0.869023898339599,0.0393801753828398,0.10159319186365251
gut unclassified Proteobacteria,0.0,0.0,0.0
gut unclassified Rhodospirillaceae,0.0,0.0,0.0022065641560866916
gut unclassified Rhodospirillales,0.0,0.0,0.0
gut unclassified Ruminococcaceae,-0.43529035294520835,-2.0940892428629376,-2.081292325109689
gut unclassified Verrucomicrobia,0.0040891718575917155,0.0,0.0
