,name1,name2,Site
82,oral unclassified Prevotellaceae,oral unclassified Prevotellaceae,Gut
84,oral Pseudoramibacter,oral Pseudoramibacter,Gut
86,oral Klebsiella,oral Klebsiella,Gut
87,oral unclassified Peptostreptococcaceae,oral unclassified Peptostreptococcaceae,Gut
88,oral unclassified Propionibacteriales,oral unclassified Propionibacteriales,Gut
91,oral Filifactor,oral Filifactor,Gut
106,oral unclassified Clostridiales,oral unclassified Clostridiales,Gut
110,oral Ottowia,oral Ottowia,Gut
112,oral Propionibacterium,oral Propionibacterium,Gut
113,oral Bifidobacterium,oral Bifidobacterium,Gut
115,oral Scardovia,oral Scardovia,Gut
131,oral Parvimonas,oral Parvimonas,Gut
132,oral Tannerella,oral Tannerella,Gut
133,oral unclassified Clostridiales Family XIII. Incertae Sedis,oral unclassified Clostridiales Family XIII. Incertae Sedis,Gut
147,oral Enterobacter,oral Enterobacter,Gut
148,oral Pseudomonas,oral Pseudomonas,Gut
160,oral Cutibacterium,oral Cutibacterium,Gut
161,oral Fusobacterium,oral Fusobacterium,Gut
164,oral Candida,oral Candida,Gut
172,oral Anaeroglobus,oral Anaeroglobus,Gut
177,oral Olsenella,oral Olsenella,Gut
178,oral Peptoniphilus,oral Peptoniphilus,Gut
179,oral Slackia,oral Slackia,Gut
183,oral Lachnoanaerobaculum,oral Lachnoanaerobaculum,Gut
