Best_Hit_ARO,FMT102,FMT103,FMT104,FMT105,FMT106,FMT107,FMT108,FMT109,FMT110,FMT111,FMT112,FMT113,FMT114,FMT115,FMT116,FMT117,FMT118,FMT119,FMT120,FMT121,FMT122,FMT123,FMT124,FMT125,FMT126,FMT127,FMT128,FMT129,FMT130,FMT131,FMT132,FMT133,FMT134,FMT135,FMT136,FMT137,FMT138,FMT139,FMT141,FMT142,FMT143,FMT144,FMT145,FMT146,FMT147,FMT148,FMT149,FMT150,FMT151,FMT152,FMT153,FMT154,FMT155,FMT156,FMT157,FMT158,FMT159,FMT161,FMT163,FMT164,FMT165,FMT166,FMT167,FMT168,FMT169,FMT170,FMT171,FMT172,FMT173,FMT174,FMT175,FMT177,FMT178,FMT180,FMT181,FMT182,FMT183,FMT184,FMT185,FMT186,FMT188,FMT189,FMT190,FMT191,FMT192,FMT193,FMT194,FMT195,FMT196,FMT201
AAC(6')-Ib8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAC(6')-Isa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777559932648803e-07,1.5721377251902e-07,0.0,4.7016640010304203e-07,0.0,1.67179812720347e-07,0.0,0.0,3.38568578939507e-07,5.033559215609679e-07,0.0,0.0,0.0,0.0,1.6454046691542401e-07,1.32270498070536e-06,0.0,1.6137920012849698e-07,4.67863866158572e-07,0.0,1.54711575254672e-07,6.1957178999647e-07,1.54162364632108e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13693571883837e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25548948876865e-07,9.54742840940252e-07,1.1095624594823999e-06,0.0,1.62645651112391e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.62583513038519e-07,0.0,0.0,0.0,1.5881462869955197e-07,0.0,0.0,0.0,0.0,0.0,0.0
APH(3')-Ib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3983357477096908e-06,0.0,2.78456234808456e-07,2.75334159351535e-07,2.75656940464531e-07,1.37178375308232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7913411057459996e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78161662550588e-07,0.0,1.100829837036771e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1183286490043502e-06,0.0,0.0,0.0,1.69547122482787e-06,0.0,2.82870427471893e-07,0.0,0.0,0.0,0.0,1.397808158917447e-06
Brucella suis mprF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5107050899953e-06,3.73441733373346e-07,3.73879528446145e-07,6.6980889460847e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.876372661336711e-08,1.643471123623e-06,3.4284347972410696e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88100748732884e-07,3.92903903816906e-07,1.1522758425141e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.821717811296741e-08,0.0,0.0,0.0,0.0,7.572950158538659e-07,0.0,0.0,0.0
EreA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9413300720971e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71769571786364e-07,0.0,0.0,0.0,0.0
OXA-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aadA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91658497474328e-07,1.17910329389265e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.193683043455829e-07,1.21663973652325e-06,0.0,0.0,2.46810700373136e-06,1.24003591941127e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.3478620730868e-07,0.0,0.0,0.0,6.140861805340079e-07,1.25810862465485e-06,0.0,6.41928487857726e-07,6.30252465126187e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8054140569839199e-06,1.8179918852107101e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adeJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bacA,1.29365139295591e-07,3.93722112406196e-07,1.802401120248737e-05,1.97865299662701e-06,3.481587348072512e-06,4.83061861181075e-05,0.0,2.40966369880454e-07,0.0,0.0,0.0,1.95495638443282e-06,1.27664584259174e-06,0.0,2.56238540303767e-07,2.585904578932722e-06,3.25545358766583e-05,8.57656182890175e-06,4.95504183602195e-06,4.899207805798042e-06,6.598617287226343e-06,2.9659603809193236e-05,4.14126904868113e-05,0.0,0.0,0.0,0.0,1.1814338473993098e-07,0.0,0.0,8.95281985043707e-07,2.0428790587988702e-06,3.8773378321177195e-07,0.0,4.86773664230094e-06,0.0,0.0,2.56684640342302e-07,1.2580171661790099e-07,2.39279026444382e-07,0.0,1.961186272767707e-06,1.09481351191898e-06,0.0,0.0,0.0,0.0,2.4026513740595696e-07,1.2089934876347198e-07,7.66875371699093e-07,4.702456694872343e-06,8.880852863875669e-07,4.2978302856619e-06,6.26676659277204e-06,1.19792248835655e-07,2.4112817796515396e-07,1.209367088979044e-06,8.75770216775703e-05,3.392195336259356e-05,3.5776322200069804e-05,3.784486495261831e-05,7.836552601259311e-05,6.884199913980331e-05,1.2716281923145301e-07,0.0,0.0,1.23403085541576e-07,2.995900335698734e-05,3.2320853924705003e-05,3.694252932661142e-05,6.294731164463426e-05,7.732909224812e-06,7.3279258810273405e-06,7.359519730453021e-07,0.0,3.7409059684729894e-07,0.0,0.0,3.60336325213697e-07,0.0,2.41336092309903e-07,5.9410960574748e-07,0.0,2.4255325110477e-07,1.2137712887884902e-07,0.0,1.20353122957532e-07,1.32971847843071e-06,1.1992258423432802e-07,0.0
dfrA26,0.0,0.0,0.0,0.0,1.7371970881603e-06,0.0,0.0,5.812785238344279e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
