,source,target,0
100,gut Libanicoccus,oral unclassified Neisseriaceae,0.454974951899351
101,gut Marvinbryantia,oral unclassified Atopobiaceae,0.4026002581689719
102,gut Mediterranea,oral Chlamydia,0.6915684764927337
103,gut Mediterranea,oral unclassified Candidatus Gracilibacteria,0.48134001490534684
104,gut Megamonas,oral Desulfovibrio,0.45697539118587416
105,gut Megamonas,oral Johnsonella,0.47723268688141407
106,gut Megamonas,oral unclassified Clostridiales,0.490489975126841
107,gut Megamonas,oral unclassified Prevotellaceae,0.4093789688477454
108,gut Megamonas,oral Acidaminococcus,0.5295384394962367
109,gut Megasphaera,oral Granulicatella,0.41595324135598116
110,gut Megasphaera,oral Ottowia,0.41042323874975234
111,gut Merdimonas,oral Johnsonella,0.39829290567905806
112,gut Merdimonas,oral Propionibacterium,-0.4004537848462053
113,gut Methanosphaera,oral Bifidobacterium,0.3987819259530738
114,gut Methanosphaera,oral Lactobacillus,0.453808127127775
115,gut Methanosphaera,oral Scardovia,0.43861803268255184
116,gut Mitsuokella,oral Sanguibacter,0.5704044685253793
117,gut Mitsuokella,oral unclassified Actinomycetaceae,0.5295538848831839
118,gut Negativibacillus,oral unclassified Atopobiaceae,0.40279165358526325
119,gut Odoribacter,oral Peptostreptococcus,-0.46957431980842074
120,gut Odoribacter,oral Veillonella,0.40106053586097834
121,gut Olsenella,oral Desulfomicrobium,0.4289329824187996
122,gut Olsenella,oral Johnsonella,0.4631561811178234
123,gut Olsenella,oral Sanguibacter,0.5539593386500492
124,gut Olsenella,oral unclassified Actinomycetaceae,0.4552602543758907
125,gut Olsenella,oral unclassified Neisseriaceae,0.402928461327606
126,gut Olsenella,oral unclassified Synergistaceae,0.4269701305507887
127,gut Paraprevotella,oral Alloscardovia,0.40045555396189897
128,gut Paraprevotella,oral Desulfobulbus,0.4851611186788391
129,gut Paraprevotella,oral Desulfomicrobium,0.4980630779211375
130,gut Paraprevotella,oral Filifactor,0.5845181781291187
131,gut Paraprevotella,oral Parvimonas,0.4782490412302735
132,gut Paraprevotella,oral Tannerella,0.47308803110751824
133,gut Paraprevotella,oral unclassified Clostridiales Family XIII. Incertae Sedis,0.5370362380236012
134,gut Paraprevotella,oral unclassified Synergistaceae,0.6050446581463942
135,gut Paraprevotella,oral unclassified Synergistales,0.43184395229308586
136,gut Parasutterella,oral Alloscardovia,0.5545461825454162
137,gut Parasutterella,oral Caviibacter,0.48331776820690503
138,gut Parasutterella,oral Desulfobulbus,0.4189570513340778
139,gut Parasutterella,oral Phocaeicola,0.4107415962009905
140,gut Parasutterella,oral Pseudoramibacter,0.44977916008962726
141,gut Parasutterella,oral Acetobacter,0.5864853005704258
142,gut Parasutterella,oral Acidiphilium,0.4603640507647261
143,gut Phascolarctobacterium,oral Peptostreptococcus,-0.47553081836834454
144,gut Prevotella,oral unclassified Neisseriaceae,0.43231039042838015
145,gut Prevotellamassilia,oral Sanguibacter,0.4541842942126647
146,gut Prevotellamassilia,oral unclassified Actinomycetaceae,0.4182620679559788
147,gut Proteus,oral Enterobacter,0.7122123116119198
148,gut Proteus,oral Pseudomonas,1.0
149,gut Raoultella,oral Acidiphilium,1.0
150,gut Romboutsia,oral unclassified Candidatus Gracilibacteria,0.4123244822468432
151,gut Romboutsia,oral unclassified Selenomonadaceae,-0.4640692985260726
152,gut Roseburia,oral Parascardovia,0.4994340124290949
153,gut Roseburia,oral unclassified Atopobiaceae,0.4150279965386284
154,gut Ruminiclostridium,oral unclassified Clostridiales,-0.47622425701704363
155,gut Ruminococcus,oral Cardiobacterium,-0.4417407141572509
156,gut Ruminococcus,oral Lactobacillus,0.4786779783956673
157,gut Ruminococcus,oral unclassified Atopobiaceae,0.4223561223401386
158,gut Sellimonas,oral Peptostreptococcus,0.41766175260578375
159,gut Senegalimassilia,oral Cardiobacterium,-0.428086839512713
160,gut Senegalimassilia,oral Cutibacterium,0.4668752541178534
161,gut Senegalimassilia,oral Fusobacterium,-0.40727625630028047
162,gut Senegalimassilia,oral Veillonella,0.4456913728986573
163,gut Senegalimassilia,oral Acetobacter,0.5031949797898385
164,gut Slackia,oral Candida,0.42861995907362627
165,gut Streptococcus,oral Bradyrhizobium,0.3991273631752059
166,gut Subdoligranulum,oral unclassified Propionibacteriales,0.49615047690243447
167,gut Succinatimonas,oral Sanguibacter,0.5710727807322046
168,gut Succinatimonas,oral unclassified Actinomycetaceae,0.7079932441055344
169,gut Succinatimonas,oral unclassified Neisseriaceae,0.49846310699611274
170,gut Turicibacter,oral unclassified Actinomycetaceae,0.5003492065596326
171,gut unclassified Actinobacteria,oral Acetobacter,0.6268355503274632
172,gut unclassified Bacteria,oral Anaeroglobus,0.5345811940233685
173,gut unclassified Bacteria,oral Carnobacterium,-0.4157371292033801
174,gut unclassified Bacteria,oral Gemella,-0.42612082583961125
175,gut unclassified Bacteria,oral Haemophilus,-0.4448699824919915
176,gut unclassified Bacteria,oral Mycoplasma,0.6651535043008915
177,gut unclassified Bacteria,oral Olsenella,0.4890345213526406
178,gut unclassified Bacteria,oral Peptoniphilus,0.43256849046000284
179,gut unclassified Bacteria,oral Slackia,0.4799987853547658
180,gut unclassified Bacteroidales,oral Bradyrhizobium,0.41111038871929906
181,gut unclassified Burkholderiales,oral Isoptericola,-0.43397484228097055
182,gut unclassified Christensenellaceae,oral Cutibacterium,0.431305441148622
183,gut unclassified Clostridia,oral Lachnoanaerobaculum,0.46767279850234944
184,gut unclassified Clostridiales,oral Catonella,-0.41040673170497033
185,gut unclassified Clostridiales,oral Pseudopropionibacterium,-0.41654393869022993
186,gut unclassified Clostridiales,oral unclassified Selenomonadaceae,-0.4475211842281276
187,gut unclassified Erysipelotrichaceae,oral Peptostreptococcus,-0.4119486696806592
188,gut unclassified Erysipelotrichaceae,oral unclassified Atopobiaceae,0.5008660536268389
189,gut unclassified Firmicutes,oral Desulfomicrobium,0.4473600042332181
190,gut unclassified Lachnospiraceae,oral Parascardovia,0.5077199354888892
191,gut unclassified Oscillospiraceae,oral unclassified Actinomycetaceae,0.4277961613604726
192,gut unclassified Prevotellaceae,oral Gemella,-0.399250464794964
193,gut unclassified Prevotellaceae,oral Haemophilus,-0.41481983029343916
194,gut unclassified Prevotellaceae,oral Mycoplasma,0.5393464897876541
195,gut unclassified Rhodospirillaceae,oral Acetobacter,0.40698850864707664
196,gut unclassified Ruminococcaceae,oral Ottowia,-0.40619753104708156
197,gut unclassified Ruminococcaceae,oral Parascardovia,0.4177824284488631
198,gut unclassified Verrucomicrobia,oral Acetobacter,0.420332394176489
