genus	FMT102	FMT103	FMT104	FMT105	FMT106	FMT107	FMT108	FMT109	FMT110	FMT111	FMT112	FMT113	FMT114	FMT115	FMT116	FMT117	FMT118	FMT119	FMT120	FMT121	FMT122	FMT123	FMT124	FMT125	FMT126	FMT127	FMT128	FMT129	FMT130	FMT131	FMT132	FMT133	FMT134	FMT135	FMT136	FMT137	FMT138	FMT139	FMT141	FMT142	FMT143	FMT144	FMT145	FMT146	FMT147	FMT148	FMT149	FMT150	FMT151	FMT152	FMT153	FMT154	FMT155	FMT156	FMT157	FMT158	FMT159	FMT161	FMT163	FMT164	FMT165	FMT166	FMT167	FMT168	FMT169	FMT170	FMT171	FMT172	FMT173	FMT174	FMT175	FMT177	FMT178	FMT180	FMT181	FMT182	FMT183	FMT184	FMT185	FMT186	FMT188	FMT189	FMT190	FMT191	FMT192	FMT193	FMT194	FMT195	FMT196	FMT201
Intestinibacter	0.0	0.0	0.0	6.28957494894709e-06	6.92137694366104e-08	0.0	7.31212483121427e-07	0.0	0.0	0.0	0.0	1.809892819085e-07	5.53260233652803e-08	0.0	0.0	1.80928739946138e-07	0.0	3.38115332342682e-07	2.74272799704941e-07	3.2819138081564e-08	7.51894572553665e-07	0.0	0.0	2.133094757248647e-07	9.38426663528283e-07	4.23306878334958e-07	6.17864303177131e-08	5.1068365157322e-08	0.0	0.0	3.64628964315216e-07	1.63680425271448e-07	4.65467057173435e-08	0.0	7.63015539807792e-07	6.02346659289982e-08	4.75445588080023e-07	2.66359093619478e-07	0.0	9.93547410242537e-07	8.77132189467303e-08	1.18330105692264e-06	7.211277824987219e-07	3.194155191110689e-06	2.371068800331973e-06	5.83008743787781e-07	5.00558204468547e-08	3.11927417647217e-07	1.27335751439067e-07	4.12586356280224e-08	5.9480213882711e-08	0.0	0.0	2.65442619211295e-07	1.67529156564122e-07	2.47519178430962e-07	6.266740820771485e-07	0.0	0.0	3.75795531214488e-07	1.69196039010875e-07	3.9801285714182e-07	4.56397810127546e-07	6.10214621909064e-07	4.66726060523213e-07	2.68164407047058e-07	3.08197582769298e-07	0.0	4.282978515329817e-07	3.58397145353152e-08	0.0	4.40338701704009e-07	5.39759868103138e-08	0.0	0.0	0.0	0.0	0.0	1.10829569468697e-07	3.247911948768725e-07	0.0	4.26467023561184e-08	0.0	0.0	8.0305357445241e-08	6.717029937702675e-07	1.010708163450798e-06	0.0	0.0	0.0
Intestinimonas	0.0	0.0	0.0	0.0	1.10101211538594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40193160833926e-07	1.63904233595278e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45476332381772e-08	0.0	6.30514256674341e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86197451825817e-08	0.0	0.0	4.20626860114706e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70817877912468e-06	0.0	0.0	0.0	0.0	0.0	2.17429353890675e-08	2.58705927480261e-08	0.0	3.8167135829986603e-07	0.0	0.0	6.99446758960109e-08	1.885759359941987e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3184992479543e-07	4.0342348821694e-08	0.0	0.0
Klebsiella	0.0	0.0	0.0	6.064256180313929e-07	5.28904591047672e-08	6.316544409179365e-05	1.89206382344607e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18475887002822e-06	1.00262646181781e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05972737182037e-08	0.0	0.0	0.0	0.0	0.0	2.44586056616215e-07	2.26499249319535e-07	0.0	0.0	0.0	0.0	0.0	6.09908817988363e-07	0.0	6.06196604573841e-08	0.0	0.0	0.0	0.0	9.560967072238231e-06	0.0	0.0	0.0	5.13315409912627e-06	0.0	0.0	7.092680937338661e-07	9.609436820081837e-07	0.0	8.99648031012428e-06	0.0	0.0	3.97742228787039e-07	7.30805403725339e-08	0.0	0.0	0.0	0.0	1.18569451605043e-06	1.22968144521097e-06	4.47428514309552e-07	0.0	7.38575383979712e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lachnoanaerobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35644945787982e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lachnoclostridium	0.0	0.0	0.0	3.2957665909173134e-06	6.52366698367008e-08	0.0	3.3522120560556513e-06	8.173544087402179e-08	3.12840308831697e-07	1.39631176361952e-07	1.01356053021295e-07	9.866977919800442e-07	4.9118168649326e-08	0.0	1.804004045863731e-07	9.67100666981731e-07	5.91208831999217e-08	1.3150486711329231e-06	3.236689912481649e-06	6.16360284258178e-07	1.193276565700949e-06	1.2098397109668092e-06	3.9450250671785155e-06	1.20838544163742e-07	4.25314894755142e-08	6.04596698292862e-08	3.59692839566962e-07	1.396656199987984e-07	1.7901864329585706e-06	3.221305369293946e-07	5.79050673239866e-08	5.97744416780123e-07	1.1453479598647131e-07	5.26643287355797e-08	3.51099310842441e-07	0.0	1.57526312258771e-08	0.0	1.03815223028367e-07	0.0	5.07410375468353e-08	1.532157859608208e-05	5.84869289452937e-07	2.072820250591618e-07	2.1617285648985937e-07	2.220980256648847e-06	2.67102925032741e-08	4.87946274599532e-08	0.0	9.627183936947593e-07	5.23676804230248e-08	0.0	1.0508874981382284e-05	6.23806801496011e-08	1.16225389635257e-07	8.114791180446e-08	3.17568667668876e-08	3.48177215770086e-08	0.0	1.912766373997022e-05	4.63570931971817e-08	2.13882108113457e-08	9.7528491883485e-07	3.5435598746899426e-07	3.626152486287459e-07	2.269712961039626e-06	3.08591107132009e-08	8.12855047115633e-08	3.49158175610497e-08	1.7328053605167818e-07	5.02406348509642e-08	1.793425879969452e-07	1.642874440457371e-07	3.31814781528132e-07	1.2125685361746087e-06	1.02928708532133e-07	8.08646646987281e-08	9.6085539330489e-08	1.6684157296935468e-07	5.81297948609477e-08	9.35880195416877e-08	7.308597581387649e-08	2.10686305753228e-07	9.49766405453946e-08	1.3938519924031292e-07	7.67855454715504e-08	1.503247188469892e-07	6.82482714480653e-08	1.256911300963421e-07	1.804601877336634e-07
Lachnospira	0.0	0.0	0.0	0.0	1.38902170350514e-06	0.0	1.42460600564824e-06	1.51357431085139e-06	1.97962002275367e-06	3.39826945235163e-06	2.13718923965092e-06	0.0	8.86010580216077e-08	0.0	0.0	0.0	8.18709460797486e-08	1.08213688467877e-06	5.48544490223419e-06	0.0	0.0	0.0	0.0	7.14886338673561e-07	4.50279386287302e-07	6.45253048929094e-07	1.82063829027667e-06	2.7727507290399e-08	1.91170605580267e-07	1.86746812010347e-06	1.39896341047261e-06	4.40902857689354e-08	1.15017242798173e-07	7.09276426740244e-07	0.0	6.21332432329707e-08	1.13254340360458e-07	0.0	3.28247147413278e-07	1.14999658742392e-06	4.05453243015112e-07	1.0825809697297e-06	3.06214599185286e-06	2.40500073817946e-06	3.90095855753337e-06	0.0	1.65611864841103e-06	1.41406245195597e-06	1.3132332522863e-06	0.0	2.41644061322467e-07	2.38274290250585e-07	0.0	1.50462495622656e-06	1.97086731113148e-06	3.37709846640245e-06	1.07993065305323e-06	5.7030367638777e-07	1.24651514493711e-07	0.0	4.9447636440917e-07	2.32704437459389e-07	3.33970356094969e-07	1.38763790428148e-08	1.33292471880911e-07	0.0	0.0	4.61011378927967e-08	4.18471360085323e-08	2.29823979458923e-07	2.29645920920672e-07	2.85830872340962e-07	0.0	7.20861519349871e-07	4.55543178893414e-07	5.1178460955508e-07	5.90993074732426e-07	8.85713001449577e-06	2.38304915448164e-06	3.47000723487028e-07	3.21692948785709e-07	3.91813119623495e-07	1.84710829241663e-06	9.39251877996748e-06	1.90572485899592e-06	1.32834583312553e-06	1.88505326294747e-06	2.42324765013521e-07	3.4577743300006e-07	1.75588842047241e-06
Lactobacillus	1.28811889119024e-07	1.353971960918789e-07	7.547176987365959e-07	1.123260197231424e-05	9.457299296271702e-06	0.0	4.828162463732091e-06	1.8380302802423e-07	1.92485205314755e-07	0.0	1.37104413548994e-08	0.0	0.0	0.0	0.0	0.0	3.349843972254585e-06	3.1747353500161974e-06	2.06579656133455e-06	4.6636345729401e-08	7.68728721061966e-08	4.468794035471776e-07	0.0	2.18393755293264e-06	6.71263633592541e-07	2.09932352244572e-07	3.54110153832932e-08	0.0	0.0	6.5278712813839e-08	9.238177894093555e-06	2.4210694727615673e-05	3.001540427712538e-05	3.69457542649941e-06	9.350774013022631e-05	0.0001243965892703008	3.289988836516011e-05	2.912446340921015e-05	5.803983743279624e-06	1.71592778077155e-05	2.3959976667386277e-05	2.4887236395439657e-07	0.0	0.0	1.31001714408714e-08	1.5432855774893616e-06	9.74968008609172e-08	1.307995141959372e-07	5.45620446350528e-08	6.17158968700436e-07	7.90969502747053e-07	7.34337302007222e-08	4.1449512315232866e-07	2.6575860711322157e-05	3.3469197321084898e-06	3.776697330425888e-05	4.046992043092506e-06	4.348817721921287e-07	1.709390021481795e-06	2.340559629350468e-05	7.248016747234605e-05	0.00011111712243582737	1.1210561017213828e-05	1.1763091499519191e-07	1.03754066042021e-07	1.7758832661577692e-07	4.94169007709276e-08	1.5027147600531642e-06	3.80189392913036e-07	1.77376126438494e-06	1.42728344597738e-08	1.5666495225206744e-05	7.991442958171289e-06	2.6854680191384692e-06	2.5145163872166813e-06	2.8539348362910325e-06	1.6046188913764124e-06	0.0	1.307788326727094e-06	0.0	0.0	0.0	3.49713101980431e-08	0.0	1.5557431696445292e-06	0.0	0.0	0.0	0.0	0.0
Lactococcus	0.0	0.0	0.0	0.0	0.0	0.0	8.70670043868157e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57260874417004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17491959872676e-07	0.0	4.15114290914988e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43434124019016e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.42894027861969e-07	0.0	0.0	0.0	0.0	0.0	5.76901433639951e-08	0.0	0.0	0.0	0.0	0.0
Leuconostoc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5743763575615e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Libanicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37931326521959e-06	3.32043527628128e-06	4.65382760878947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marvinbryantia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90929482130563e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94259349528434e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Massiliomicrobiota	0.0	0.0	0.0	1.64166872797265e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1742477670034e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55901721583117e-07	0.0	0.0	0.0	1.21873154981012e-06	9.45622419634772e-08	4.02297116210165e-08	0.0	1.58874371521608e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.34631044807677e-08	0.0	0.0	0.0	5.52098935913147e-08	0.0	0.0	0.0	5.01859962571373e-08	0.0	0.0	0.0	0.0	0.0	8.52804345108497e-08	0.0	0.0	0.0	4.21269580860332e-08
