,name1,name2,Site
41,oral unclassified Bacteroidales,unclassified Bacteroidales,Oral
42,oral unclassified Candidatus Gracilibacteria,unclassified Candidatus Gracilibacteria,Oral
43,oral unclassified Firmicutes,unclassified Firmicutes,Oral
44,oral unclassified Selenomonadaceae,unclassified Selenomonadaceae,Oral
45,oral Acidaminococcus,Acidaminococcus,Oral
46,oral Megasphaera,Megasphaera,Oral
47,oral Stomatobaculum,Stomatobaculum,Oral
49,oral Centipeda,Centipeda,Oral
50,oral Colibacter,Colibacter,Oral
51,oral Desulfovibrio,Desulfovibrio,Oral
52,oral Johnsonella,Johnsonella,Oral
53,oral Phocaeicola,Phocaeicola,Oral
54,oral Treponema,Treponema,Oral
57,oral Mycoplasma,Mycoplasma,Oral
59,oral Solobacterium,Solobacterium,Oral
65,oral Cardiobacterium,Cardiobacterium,Oral
66,oral Eikenella,Eikenella,Oral
67,oral Gemella,Gemella,Oral
68,oral Granulicatella,Granulicatella,Oral
69,oral Neisseria,Neisseria,Oral
72,oral Haemophilus,Haemophilus,Oral
73,oral Peptostreptococcus,Peptostreptococcus,Oral
74,oral Pseudopropionibacterium,Pseudopropionibacterium,Oral
82,oral unclassified Prevotellaceae,unclassified Prevotellaceae,Oral
84,oral Pseudoramibacter,Pseudoramibacter,Oral
86,oral Klebsiella,Klebsiella,Oral
87,oral unclassified Peptostreptococcaceae,unclassified Peptostreptococcaceae,Oral
88,oral unclassified Propionibacteriales,unclassified Propionibacteriales,Oral
91,oral Filifactor,Filifactor,Oral
106,oral unclassified Clostridiales,unclassified Clostridiales,Oral
110,oral Ottowia,Ottowia,Oral
112,oral Propionibacterium,Propionibacterium,Oral
113,oral Bifidobacterium,Bifidobacterium,Oral
115,oral Scardovia,Scardovia,Oral
131,oral Parvimonas,Parvimonas,Oral
132,oral Tannerella,Tannerella,Oral
133,oral unclassified Clostridiales Family XIII. Incertae Sedis,unclassified Clostridiales Family XIII. Incertae Sedis,Oral
147,oral Enterobacter,Enterobacter,Oral
148,oral Pseudomonas,Pseudomonas,Oral
160,oral Cutibacterium,Cutibacterium,Oral
161,oral Fusobacterium,Fusobacterium,Oral
164,oral Candida,Candida,Oral
172,oral Anaeroglobus,Anaeroglobus,Oral
177,oral Olsenella,Olsenella,Oral
178,oral Peptoniphilus,Peptoniphilus,Oral
179,oral Slackia,Slackia,Oral
183,oral Lachnoanaerobaculum,Lachnoanaerobaculum,Oral
