DATASET_HEATMAP
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

MARGIN 0
STRIP_WIDTH 25

SHOW_INTERNAL 0

SHOW_TREE 1

TREE_HEIGHT 1000

COLOR_MIN #ff0000
COLOR_MAX #0000ff

USE_MID_COLOR 1
COLOR_MID #ffff00

FIELD_LABELS FMT102 FMT103 FMT104 FMT105 FMT106 FMT107 FMT108 FMT109 FMT110 FMT111 FMT112 FMT113 FMT114 FMT115 FMT116 FMT117 FMT118 FMT119 FMT120 FMT121 FMT122 FMT123 FMT124 FMT125 FMT126 FMT127 FMT128 FMT129 FMT130 FMT131 FMT132 FMT133 FMT134 FMT135 FMT136 FMT137 FMT138 FMT139 FMT141 FMT142 FMT143 FMT144 FMT145 FMT146 FMT147 FMT148 FMT149 FMT150 FMT151 FMT152 FMT153 FMT154 FMT155 FMT156 FMT157 FMT158 FMT159 FMT161 FMT163 FMT164 FMT165 FMT166 FMT167 FMT168 FMT169 FMT170 FMT171 FMT172 FMT173 FMT174 FMT175 FMT177 FMT178 FMT180 FMT181 FMT182 FMT183 FMT184 FMT185 FMT186 FMT188 FMT189 FMT190 FMT191 FMT192 FMT193 FMT194 FMT195 FMT196 FMT201
DATA
msp_0040 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 0.10946966178620407 0.12410425205625368 0.16750070442956858 -0.0715697067327179 -0.01307572725323904 -0.02561625080476456 -0.0006311449051200378 -0.09015303954692003 -0.0738149633532281 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 1.3705997716300633 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 0.9463310718577534 0.34812320221404347 0.6479331479853175 -0.08358642516022849 0.21876049814912388 0.10648105741427975 0.15181758082379998 -0.09538239129118174 -0.08856298078954367 -0.08131308416898526 1.634610904483105 0.517553978130656 0.3875333475975189 2.604814150224929 1.5171395078056873 -0.0002599731626947585 0.6392109786085627 -0.09167036632679623 0.16782754112268103 -0.0449313980050212 -0.07959442563438858 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.09913367942376287 -0.0724222162846447 -0.003239426431777038 -0.11263824463506589 -0.06628072313257029 -0.06389263728162896 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 0.06798877349699196 -0.05314997316474043 -0.06021164077671423 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 0.8256903786467409 0.4246039293268722 0.2557998506192006 0.1300435331815166 -0.23056453054997025
msp_0041 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 14.021258685162259 17.404558300144632 2.503611750282074 2.525307219664025 0.6303112557746504 -0.09585477318294194 0.4803454448097796 -0.06998084420864503 13.612026564226854 0.06238920494692482 21.674291457178704 -0.060046005252104975 -0.06301442309426279 -0.06616042552374074 -0.05697573971506685 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.11474256405595253 -0.11790124419701206 -0.12542958202799864 -0.09538239129118174 4.602943933112227 8.26913474656704 -0.05191389060213742 13.119302058536368 17.51753079401456 11.062482324664522 7.933143677813605 7.956980895304176 11.798088223316487 -0.04824258996992275 12.302637874237895 1.0687335490811034 1.0934245620504663 -0.16514411522224906 -0.1829122188919658 -0.2140122168342132 -0.1944954095996384 -0.1100448921829947 -0.023198353988969213 10.836423992513756 2.9144049328473036 1.6451172846664297 -0.08921286523742492 7.344601561276048 12.548717618576273 14.732024216910911 16.616721274243634 -0.17112919516018119 -0.11819254430003989 -0.11437149748836137 17.1706788692215 5.462167183580032 -0.1855144050218895 -0.21679176061197114 -0.21616354801444326 -0.17343798662508447 -0.1958885207460136 20.501495681321497 10.10505411956001 -0.23056453054997025
msp_0042 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 0.3335314519412701 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.014606353573045844 -0.021255102852678176 0.8485292192171872 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 2.1741418614823353 4.445882624099041 2.28634228505823 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 0.08893112371223498 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 3.162938227186458 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 2.161470623263119 0.3253066948649592 2.2083096414610526 -0.18693609112403262 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 0.5076897900290053 -0.203864069947422 -0.20191758641485386 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.18515701084259692 -0.223700586685026 5.316057688411909 -0.1889881406653506 -0.20411286006517523 -0.21465886481068497 -0.18847608445231273 -0.21616354801444326 9.357953399195855 10.498691747836304 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0043 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 0.4381472208896951 -0.19134311461797646 -0.16798466074391968 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0044 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.06664323800349052 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.0908520059004193 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.135566809373565 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0045 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.18303099144160406 -0.13198828687748868 -0.15970690654872371 -0.1823129239696949 0.16783988281284143 2.2669809048749303 3.0972885731714586 5.981931916785636 -0.09015303954692003 0.044687172123319435 -0.08600050476620454 -0.13347171639372477 -0.03692819846664345 -0.05391613041374007 -0.14063683350995548 0.20902444434553244 1.3595770724953742 1.8213609854707251 7.2316343693015455 1.0585570595222662 22.137578854707357 0.8631812418943107 -0.20166724393447072 0.7456567395647192 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 2.208401035017696 10.257906427589544 15.316244928884847 -0.06781442799102859 17.39265615586349 14.889191102476136 16.770322897460936 -0.08358642516022849 2.1598412066818082 4.121576293011154 2.3195221695747015 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06287201460837817 0.554963083568687 0.9037739451315879 6.685440461206198 9.54689288371268 -0.08000456041390841 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.09437038049345071 -0.10847398400049926 0.771931626261074 5.839717222596484 -0.2140122168342132 1.09525606813527 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.0816116928980783 -0.19565955090998322 -0.15343923253274533 -0.129486713903327 -0.1139774489408833 -0.20390090358431445 12.28728157385524 3.0085800598218166 -0.1889881406653506 -0.18652516341384529 13.487820144688857 -0.1998861440363349 7.912429801011347 4.06012012143735 3.9144184921840277 -0.1547761619956219 -0.21136548082229611 10.744375384730176
msp_0046 -0.06692311853162454 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 0.6113658475222354 -0.07580378921277096 -0.15023343655400723 2.509934154150053 1.1228990992075365 6.257246940354001 3.8045008990169316 0.6853338427403997 0.9155605164596434 0.34468965813310737 0.7793346356420048 0.15215916056435025 0.1846635300561297 1.1084381890657677 15.095649035402996 -0.04017922129933942 -0.05391613041374007 0.9055244244479105 -0.01896190896445665 -0.18592844002329698 -0.08946564457776254 -0.17131179061913238 0.4015701761866741 0.6424502978732409 -0.13373311568587762 1.6102612211260363 0.5006437720163186 0.2950431399370214 -0.049606460045303356 -0.017210059919876362 -0.06520346063047855 -0.06904685287838308 -0.062482469349325984 0.07114318009108785 1.1013700007658027 0.04011202288780772 1.7940846055012887 7.837332042008673 4.71405046742183 2.370220029242219 1.5465441794273662 -0.08358642516022849 2.7255853600946853 1.6406979142853455 3.5306210545697474 2.1280695820723228 -0.016848521853812037 0.07264922635254031 -0.06407610143024002 0.1609850350814106 0.4169434835305441 0.73399329584903 0.44203229538601757 -0.03576558179047352 0.5234698984518901 -0.09167036632679623 0.060916827523523565 -0.012349344032605064 0.5412476544838652 5.855309199587811 5.748939006143137 11.566726428568698 16.088288732876485 0.09922105350861425 0.081318785752183 0.5088916708674955 0.1666816859185866 0.2565042738810538 0.5307865031400197 1.1034761945118214 3.393663924621657 0.359369953855352 -0.020476275828132526 1.7575176881830885 2.1743935655221707 0.7522418102243452 0.4105841303734568 0.20521288541173655 1.835357923174789 2.0825780941832095 2.8974445215763893 1.8353634026515013 10.418835232319617 0.41797977843335654 0.1905748506902236 2.110644863299651
msp_0047 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.09096075889519291 -0.07580378921277096 0.22745787265073433 -0.20997188131094568 -0.14865195549467627 -0.16089517635909606 -0.18479594258098822 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.17424486472380263 -0.11413620224642987 -0.15340104755384137 0.12334893252622722 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 0.18478484857949135 0.11999564175543963 0.1543646902249638 0.2631917085632058 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.06366882933321527 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 0.5354822133142951 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 0.06255261220227135 -0.21679176061197114 0.6471675378560516 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 0.1060997273818136
msp_0048 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.12193291771855708 -0.07580378921277096 -0.03282318937615104 -0.18668132749243155 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.06052137346840082 -0.09921898885013167 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.07967143475207501 -0.07553168732088689 -0.07998662253810157 0.013891891313796366 0.14072140708728587 -0.08789320806507807 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.1809803049557785 -0.0941584010029349 -0.14251889099641288 -0.060787891574354776 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06448429342919315 -0.060721380619431484 -0.06376477385843328 -0.12381511899833977 -0.13954047607652306 -0.17620240394234102 -0.08564597696195897 -0.19268738338631858 -0.12416814829831418 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.05994220142074646 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.19158161435698493 -0.14677372619116458 -0.24928960104838316 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.0790859099151062 -0.1353625760248883 -0.06793844292792153 -0.08697067876025269 -0.039206775160860276 0.03537453042644598 -0.17372636855396273 0.025803832468006133 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.17014822760144585 -0.20272550872688522 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 0.22522679166109544 -0.11014698488523023 -0.17278565095725326 -0.1870841034973094 0.2430113383675437 -0.16880207730857177 -0.21136548082229611 0.25821624022136397
msp_0049 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.05064361332483003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 0.03780567697502292 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.22492028932134944 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.15057052726751843 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0050 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 1.0161251120260406 0.7650856742934253 0.06474643745041704 -0.11204270675893159 -0.0715697067327179 0.05684843966678864 -0.05129462245453219 -0.08706686566116503 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.0972912282814685 0.1195456410782455 0.44691234536143515 1.362311693540711 0.5436539118535565 0.5989051239130194 0.6013191676016502 0.12674783072981677 0.3032739517693791 0.6811166182096003 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.055894888444597356 0.20618759785389437 0.135370360841204 1.3272792543211516 2.475473974021126 1.2407406772870702 0.9380795081956229 1.2260200161575339 1.2388252342782466 -0.08358642516022849 3.4977260956582663 2.6019455084038863 1.6124034570376884 -0.09538239129118174 0.06207505090045459 -0.06771264238952647 -0.06779676816878129 0.12000980098530768 -0.147691260548039 0.008149375824696646 -0.17846149503155248 0.1703657034336101 0.31477292785189176 -0.09167036632679623 -0.07162495547243923 0.12257433549632821 0.42141805805537974 0.37295278844222096 0.21798004393308132 0.08378633795692085 0.5757082296210139 0.09334644013763838 -0.10010747612168544 0.3978974250123517 0.1606496685091565 0.17998049155391427 0.35483248853242505 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.18722960521122622 1.3213034868779059 0.19385816570696923 0.8323878492319883 1.8299761139956379 0.879711790834019 -0.19026417423814446 0.7272361522058458 0.6906864229221944 1.7884426542309926 0.47612768383935095 0.6181848804005438 0.5763015525614396
msp_0052 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 0.35839583898154376 -0.15146614688863363 -0.04265817174628494 -0.17923943413827212 -0.20346238565422547 -0.030789424495399176 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.20348313907845686 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 1.006320734374117 -0.06638906107902935 -0.07710107920205489 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.02663112825229121 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.13908619969391914 -0.17577538339990678 -0.1874023286868062 -0.19043204387478668 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.2147152269970625 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0053 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.20212832092159397 -0.07580378921277096 -0.15023343655400723 -0.15195738511289714 -0.14865195549467627 -0.17923943413827212 -0.20346238565422547 -0.0715697067327179 1.1720767988074834 0.018179041565112693 0.020937171908207524 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 0.12525721137769763 -0.14226356880680657 -0.22492028932134944 -0.1454503741849913 -0.1636663418555718 -0.26857545844373554 0.3325265798860691 -0.10190998905241148 -0.06586324706401109 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.14630341539280545 -0.1674438300668505 -0.1958212504744234 -0.08564597696195897 -0.19268738338631858 -0.16912605261728442 -0.16005223267114527 -0.08358642516022849 -0.11062601557081897 -0.15411164408660652 -0.15987097855541058 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.09435921425574112 -0.05613402824644544 0.18826484184846984 1.03340069886594 -0.04421855612377924 -0.2192892511694602 -0.1100448921829947 0.11324804515462235 -0.16850113163754582 -0.1327325957442412 0.00867162061647286 -0.12969823492838092 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 0.08992040404188109 0.21569697697819093 -0.10452861746439017 -0.222151714893826 0.7889284426744002 -0.21679176061197114 0.21583768636599823 0.9634103851900487 -0.1958885207460136 -0.08777276669462863 -0.21136548082229611 1.6016579878828123
msp_0054 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.14875018917409266 -0.14865195549467627 -0.17923943413827212 -0.16235845197788795 -0.0715697067327179 -0.1017321159154754 -0.057924182155411924 -0.10425242082597798 -0.09015303954692003 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.18592844002329698 -0.18403573461709485 -0.2149932830938358 -0.2050339720627865 -0.17756107467216128 -0.1636663418555718 -0.26857545844373554 -0.06563356464485812 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1695018759589603 -0.19134311461797646 -0.1958212504744234 -0.08564597696195897 0.03596893490056825 -0.152299409392242 -0.15003678969828543 -0.08358642516022849 -0.13019800694322323 -0.1490642840722582 -0.1407396798911102 -0.09538239129118174 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.22698782066192857 -0.22164415779325475 -0.2562661428073954 -0.2761618181375604 -0.09830428025145163 -0.15950282989103876 -0.09167036632679623 -0.1353625760248883 -0.10233405158917869 -0.10847398400049926 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 -0.2192892511694602 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.11735609046213569 -0.12969823492838092 0.09756553667758937 -0.0721817281390736 -0.09092716095792862 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.1360976064717286 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.19938480511751747 -0.10936242570023717 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
msp_0055 -0.07461818485048421 -0.06794714751242342 -0.07216419392395029 -0.14732804246894468 -0.24040192463013474 -0.07580378921277096 -0.15023343655400723 -0.20997188131094568 -0.14865195549467627 -0.17923943413827212 2.4200876123267716 -0.0715697067327179 -0.1017321159154754 -0.040523039692635446 -0.03289972560187608 -0.02509273026827639 -0.0875042805036315 -0.08600050476620454 -0.13347171639372477 -0.04017922129933942 -0.05391613041374007 -0.14063683350995548 -0.07319703243884702 -0.03969709698383901 0.2677703342194102 -0.03709465985706239 0.7688728048627206 -0.17756107467216128 -0.0546759460324505 0.7920576402755727 -0.06998084420864503 -0.10190998905241148 -0.10028404059894817 -0.13946422543489428 -0.06520346063047855 -0.06904685287838308 -0.07532991524584398 -0.06376477385843328 -0.1160755997192713 -0.18370242804818104 -0.16541282081534012 -0.06234728104049218 -0.19268738338631858 -0.16912605261728442 -0.152128159263594 -0.08358642516022849 -0.1844813220244017 -0.15411164408660652 -0.15987097855541058 0.11835349853365155 -0.11164693201862412 -0.09614105977318022 -0.06779676816878129 -0.179233668612641 0.0825024059845311 1.4040212263419156 5.074297618313616 -0.09830428025145163 -0.1250135177087005 -0.09167036632679623 -0.12330145162456027 -0.10233405158917869 -0.07963256625138217 -0.16514411522224906 -0.203864069947422 -0.2140122168342132 0.20211385954793545 -0.1100448921829947 -0.11038067170449178 -0.16850113163754582 -0.16425072541945387 -0.09020502647752617 -0.048780758277348395 -0.19565955090998322 -0.17117967670824788 -0.15271900744845787 -0.134809535796577 -0.20390090358431445 -0.223700586685026 -0.12415826134222736 -0.1889881406653506 -0.222151714893826 -0.23124285731142347 -0.21679176061197114 -0.21616354801444326 -0.17651957031377524 -0.1958885207460136 -0.16880207730857177 -0.21136548082229611 -0.23056453054997025
