C00132	Methanol	T
C00106	Uracil	F
C00469	Ethanol	T
C00163	Propionic acid	T
C00218	N-Methylamine	T
C01536	Tyrosine	F
C00186	Lactate	T
C07086	Phenylacetic acid	T
C00803	Valeric acid	F
C00122	Fumaric acid	T
C16434	Isoleucine	F
C00037	Glycine	T
